week,language,weekend_users,total_users
2,PogoScript,0,1
3,Pan,0,4
4,Forth,1,4
3,GAP,5,21
2,Prolog,10,36
3,Bluespec,1,5
4,Glyph,0,2
2,Gosu,10,29
2,UnrealScript,3,9
2,Pike,1,5
3,Objective-C,1277,4641
3,D,84,264
4,R,2539,3865
1,Brightscript,0,2
1,Factor,4,9
2,Logtalk,1,4
4,SourcePawn,8,28
1,ooc,1,1
4,Agda,5,28
1,VimL,964,3756
3,AutoHotkey,15,65
1,Racket,28,109
2,AutoIt,5,23
4,Propeller Spin,3,14
1,Ruby,5175,18176
1,Kotlin,8,18
3,COBOL,8,15
3,CSS,6142,20644
3,OCaml,59,218
2,Fantom,1,2
3,ASP,41,186
3,Oxygene,1,1
4,Pure Data,2,17
1,LiveScript,12,38
2,Python,6360,22873
2,Elixir,37,110
3,BlitzBasic,11,48
3,TeX,712,2409
1,Awk,9,21
4,Alloy,3,6
3,Pascal,62,175
3,SystemVerilog,2,11
4,Dylan,4,11
1,XML,5,17
4,Vala,24,58
4,AppleScript,13,60
3,JavaScript,12336,42154
3,Apex,2,34
2,Arduino,153,469
4,Nemerle,0,10
2,Crystal,1,4
2,RobotFramework,0,1
1,Coq,13,48
2,FLUX,0,5
3,SQL,39,166
3,Turing,0,1
1,Frege,1,4
2,PowerShell,93,351
1,Tcl,18,61
3,Swift,241,692
1,Logos,14,51
1,VHDL,25,101
1,xBase,1,12
2,Emacs Lisp,422,1488
3,Haskell,439,1216
4,Common Lisp,47,170
4,Monkey,1,3
2,Red,0,3
2,C,3747,11631
3,C++,4386,13899
1,KRL,1,2
4,XProc,1,6
4,Arc,1,9
2,Julia,74,211
3,Io,1,5
1,Groovy,218,784
1,Objective-J,10,27
3,Shell,2391,8711
4,Rust,152,388
3,Parrot,1,8
2,PHP,4918,17817
1,Perl,583,2210
1,Squirrel,6,23
4,DM,58,144
4,Cuda,21,79
1,Dogescript,1,3
2,Hy,1,2
4,Augeas,1,7
2,DOT,4,15
3,Max,9,35
4,VHDL,24,89
2,C#,2469,7921
3,Mirah,1,1
4,xBase,3,19
3,Scilab,1,4
4,Coq,17,46
4,Component Pascal,3,7
4,VCL,0,5
2,Inform 7,9,18
4,Tcl,27,71
4,Logos,16,45
3,Stata,4,15
4,Frege,2,6
1,AppleScript,16,55
1,Nemerle,2,15
4,XML,3,14
1,Dylan,2,6
2,XSLT,75,354
3,Clojure,262,776
1,Vala,13,49
3,NetLogo,1,8
2,FORTRAN,52,257
2,Haskell,431,1247
4,Haxe,49,147
4,Dogescript,1,1
1,Gnuplot,9,25
3,Bro,1,1
1,DM,59,139
1,Cuda,25,75
3,Emacs Lisp,396,1349
4,Perl,624,2200
4,Squirrel,4,14
3,OpenEdge ABL,23,65
1,Augeas,1,8
3,Red,0,3
1,XQuery,7,27
4,Processing,63,192
4,Objective-J,10,28
1,Rust,125,311
4,Nimrod,11,26
2,C++,4533,14137
3,C,3584,11241
4,Groovy,238,922
3,Julia,71,225
2,Shell,2320,8658
3,Scala,540,1771
3,Eiffel,8,34
1,XProc,0,4
2,Io,3,8
4,KRL,1,3
1,Arc,4,9
3,PHP,4970,17870
4,Rouge,0,1
4,Idris,0,4
2,Parrot,2,7
4,Lasso,2,9
1,MoonScript,5,13
1,Common Lisp,63,200
4,Ox,1,1
3,DOT,5,19
1,Monkey,0,1
2,Grammatical Framework,1,3
4,Brightscript,3,8
4,Factor,3,6
4,Perl6,5,12
1,R,803,2710
1,Delphi,0,2
2,Pan,1,3
1,Agda,8,26
3,Puppet,111,590
1,SourcePawn,18,36
4,ooc,1,2
1,REALbasic,2,3
2,J,2,5
3,Slash,6,22
2,Elm,4,16
3,Prolog,8,26
4,Objective-C++,23,91
1,ActionScript,92,356
1,Volt,0,1
3,TypeScript,209,590
4,Xtend,6,23
2,GAP,10,22
3,Lua,471,1303
3,PureScript,5,8
3,AspectJ,4,13
2,Rebol,3,7
3,Ecl,1,1
4,Mathematica,2,5
2,Bluespec,1,6
1,M,7,36
3,UnrealScript,6,20
3,Java,9144,30102
3,Gosu,9,24
3,Nu,0,1
1,Mercury,6,18
2,D,103,313
3,HaXe,1,4
2,Objective-C,1310,4690
3,Pike,1,4
1,IDL,35,119
1,eC,1,2
1,Forth,1,2
2,Cirru,1,1
3,Logtalk,2,4
1,Matlab,176,807
2,COBOL,5,12
3,AutoIt,8,33
1,Erlang,102,436
